,company,ticker,sector,industry
65,Microchip Technology,MCHP,Information Technology,Semiconductors
66,Micron Technology,MU,Information Technology,Semiconductors
67,Microsoft,MSFT,Information Technology,Systems Software
68,Moderna,MRNA,Health Care,Biotechnology
69,Mondelēz International,MDLZ,Consumer Staples,Packaged Foods & Meats
70,Monster Beverage,MNST,Consumer Staples,Soft Drinks
71,Netflix,NFLX,Communication Services,Movies & Entertainment
72,Nvidia,NVDA,Information Technology,Semiconductors
73,NXP,NXPI,Information Technology,Semiconductors
74,O'Reilly Automotive,ORLY,Consumer Discretionary,Specialty Stores
75,Old Dominion Freight Line,ODFL,Industrials,Trucking
76,Paccar,PCAR,Industrials,Construction Machinery & Heavy Trucks
77,Palo Alto Networks,PANW,Information Technology,Application Software
78,Paychex,PAYX,Information Technology,Data Processing & Outsourced Services
79,PayPal,PYPL,Information Technology,Data Processing & Outsourced Services
80,PDD Holdings,PDD,Consumer Discretionary,Internet & Direct Marketing Retail
81,PepsiCo,PEP,Consumer Staples,Soft Drinks
82,Qualcomm,QCOM,Information Technology,Semiconductors
83,Regeneron,REGN,Health Care,Biotechnology
84,Rivian,RIVN,Consumer Discretionary,Automobile Manufacturers
85,Ross Stores,ROST,Consumer Discretionary,Apparel Retail
86,Seagen,SGEN,Health Care,Biotechnology
87,Sirius XM,SIRI,Communication Services,Broadcasting
88,Starbucks,SBUX,Consumer Discretionary,Restaurants
89,Synopsys,SNPS,Information Technology,Application Software
90,T-Mobile US,TMUS,Communication Services,Wireless Telecommunication Services
91,"Tesla, Inc.",TSLA,Consumer Discretionary,Automobile Manufacturers
92,Texas Instruments,TXN,Information Technology,Semiconductors
93,Verisk,VRSK,Industrials,Research & Consulting Services
94,Vertex Pharmaceuticals,VRTX,Health Care,Biotechnology
95,Walgreens Boots Alliance,WBA,Consumer Staples,Drug Retail
96,Warner Bros. Discovery,WBD,Communication Services,Broadcasting
97,"Workday, Inc.",WDAY,Information Technology,Application Software
98,Xcel Energy,XEL,Utilities,Multi-Utilities
99,Zoom Video Communications,ZM,Information Technology,Application Software
100,Zscaler,ZS,Information Technology,Application Software
